class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
CYCADS,Encephalartos brevifoliolatus,EW,EW,2009,2010,NA,NA,NA
CYCADS,Encephalartos cerinus,CR,CR(PE),2009,2010,4,NA,NA
CYCADS,Encephalartos ferox,LC,NT,2009,2010,0,1,-1
CYCADS,Encephalartos whitelockii,VU,CR,2009,2010,2,4,-2
CYCADS,Macrozamia lomandroides,VU,EN,2009,2010,2,3,-1
CYCADS,Stangeria eriopus,NT,VU,2009,2010,1,2,-1
MAMMALS,Equus ferus,CR,EN,2010,2011,4,3,1
MAMMALS,Oryx leucoryx,EN,VU,2010,2011,3,2,1
MAMMALS,Sylvilagus mansuetus,NT,CR,2010,2011,1,4,-3
BIRDS,Anas nesiotis,CR,EN,2010,2011,4,3,1
BIRDS,Ardeotis nigriceps,EN,CR,2010,2011,3,4,-1
BIRDS,Atlapetes pallidiceps,CR,EN,2010,2011,4,3,1
BIRDS,Columba bollii,NT,LC,2010,2011,1,0,1
BIRDS,Columba junoniae,EN,NT,2010,2011,3,1,2
BIRDS,Columba trocaz,NT,LC,2010,2011,1,0,1
BIRDS,Myiagra albiventris,VU,NT,2010,2011,2,1,1
REPTILES,Glyptemys insculpta,VU,EN,2010,2011,2,3,-1
REPTILES,Glyptemys muhlenbergii,EN,CR,2010,2011,3,4,-1
REPTILES,Graptemys pulchra,NT,NT,2010,2011,1,1,0
REPTILES,Terrapene carolina,LR/nt,VU,2010,2011,NA,2,NA
FISHES,Thunnus albacares,NT,NT,2010,2011,1,1,0
MOLLUSCS,Actinella anaglyptica,VU,NT,2010,2011,2,1,1
MOLLUSCS,Canariella pthonera,NT,VU,2010,2011,1,2,-1
MOLLUSCS,Candidula setubalensis,VU,EN,2010,2011,2,3,-1
MOLLUSCS,Caseolus calvus,VU,EN,2010,2011,2,3,-1
MOLLUSCS,Cornu mazzullii,VU,EN,2010,2011,2,3,-1
MOLLUSCS,Discus guerinianus,EN,CR,2010,2011,3,4,-1
