Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Circaetus pectoralis,Black-chested Snake-eagle,LC,U,Terrestrial,Birds,0,Unchanged
Delphinus delphis,Short-beaked Common Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Epinephelus tukula,Potato Grouper,LC,U,Marine,Bony,0,Unchanged
Erignathus barbatus,Bearded Seal,LC,U,"Marine,Terrestrial",MarineMam,0,Unchanged
Eubalaena japonica,North Pacific Right Whale,EN,U,Marine,MarineMam,0,Unchanged
Feresa attenuata,Pygmy killer whale,LC,U,Marine,MarineMam,0,Unchanged
Gadus morhua,Atlantic Cod,VU,U,Marine,Bony,0,Unchanged
Grampus griseus,Risso's Dolphin,LC,U,Marine,MarineMam,0,Unchanged
Gymnosarda unicolor,Dogtooth Tuna,LC,U,Marine,Bony,0,Unchanged
Hippoglossus hippoglossus,Atlantic Halibut,EN,U,Marine,Bony,0,Unchanged
Histriophoca fasciata,Ribbon Seal,LC,U,Marine,MarineMam,0,Unchanged
Hucho hucho,Danube Salmon,EN,U,Freshwater,Bony,0,Unchanged
