assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
12622296,63141,Oxynotus centrina,47,Atlantic - southeast,,Native,Extant,
12622296,63141,Oxynotus centrina,34,Atlantic - eastern central,,Native,Extant,
12622582,63142,Narcine bancroftii,31,Atlantic - western central,,Native,Extant,
12622582,63142,Narcine bancroftii,21,Atlantic - northwest,,Native,Extant,
12622582,63142,Narcine bancroftii,41,Atlantic - southwest,,Native,Extant,
12623029,63145,Bathyraja scaphiops,41,Atlantic - southwest,,Native,Extant,
12623141,63146,Raja montagui,37,Mediterranean and Black Sea,,Native,Extant,
12623141,63146,Raja montagui,27,Atlantic - northeast,,Native,Extant,
12623141,63146,Raja montagui,34,Atlantic - eastern central,,Native,Extant,
12623314,63147,Zearaja chilensis,87,Pacific - southeast,,Native,Extant,
12623314,63147,Zearaja chilensis,41,Atlantic - southwest,,Native,Extant,
12623470,63148,Bathyraja peruana,87,Pacific - southeast,,Native,Extant,
12623555,63149,Galeus atlanticus,37,Mediterranean and Black Sea,,Native,Extant,
12623555,63149,Galeus atlanticus,27,Atlantic - northeast,,Native,Extant,
12623555,63149,Galeus atlanticus,34,Atlantic - eastern central,,Native,Extant,
12624290,63153,Gymnura altavela,37,Mediterranean and Black Sea,,Native,Extant,
12624290,63153,Gymnura altavela,31,Atlantic - western central,,Native,Extant,
12624290,63153,Gymnura altavela,27,Atlantic - northeast,,Native,Extant,
12624290,63153,Gymnura altavela,21,Atlantic - northwest,,Native,Extant,
12624290,63153,Gymnura altavela,47,Atlantic - southeast,,Native,Extant,
12624290,63153,Gymnura altavela,41,Atlantic - southwest,,Native,Extant,
12624290,63153,Gymnura altavela,34,Atlantic - eastern central,,Native,Extant,
12624668,63154,Narcine leoparda,41,Atlantic - southwest,,Native,Extant,
12624773,63155,Raja cervigoni,31,Atlantic - western central,,Native,Extant,
12624868,63156,Urotrygon venezuelae,31,Atlantic - western central,,Native,Extant,
12624946,63162,Rajella eisenhardti,87,Pacific - southeast,,Native,Extant,
12625552,63166,Rhinobatos penggali,57,Indian Ocean - eastern,,Native,Extant,
12625552,63166,Rhinobatos penggali,71,Pacific - western central,,Native,Extant,
12625681,63167,Rhinobatos jimbaranensis,71,Pacific - western central,,Native,Extant,
12649851,6336,Delphinus delphis,31,Atlantic - western central,,Native,Extant,
12649851,6336,Delphinus delphis,87,Pacific - southeast,,Native,Extant,
